,Paises,Medallas_Oro,Medallas_Plata,Medallas_Bronze
0,United States of America,39,41,33
1,People's Republic of China,38,32,18
2,Japan,27,14,17
3,Great Britain,22,21,22
4,ROC,20,28,23
5,Australia,17,7,22
6,Netherlands,10,12,14
7,France,10,12,11
8,Germany,10,11,16
9,Italy,10,10,20
10,Canada,7,6,11
11,Brazil,7,6,8
12,New Zealand,7,6,7
13,Cuba,7,3,5
14,Hungary,6,7,7
15,Republic of Korea,6,4,10
16,Poland,4,5,5
17,Czech Republic,4,4,3
18,Kenya,4,4,2
19,Norway,4,2,2
20,Jamaica,4,1,4
21,Spain,3,8,6
22,Sweden,3,6,6
23,Switzerland,3,4,4
24,Denmark,3,4,2
25,Croatia,3,3,2
26,Islamic Republic of Iran,3,2,5
27,Serbia,3,1,3
28,Belgium,3,1,2
29,Bulgaria,3,1,1
30,Slovenia,3,1,2
31,Uzbekistan,3,5,1
32,Georgia,2,4,6
33,Chinese Taipei,2,2,9
34,Turkey,2,1,1
35,Greece,2,1,1
36,Uganda,2,1,2
37,Ecuador,2,6,2
38,Israel,2,3,1
39,Ireland,2,3,12
40,Qatar,2,3,3
41,Bahamas,2,2,4
42,Kosovo,2,2,3
43,Ukraine,1,2,1
44,Belarus,1,2,1
45,Venezuela,1,2,5
46,Romania,1,1,4
47,India,1,1,3
48,"Hong Kong, China",1,1,2
49,Slovakia,1,1,2
50,Philippines,1,1,1
51,South Africa,1,1,1
52,Austria,1,4,1
53,Egypt,1,3,1
54,Indonesia,1,3,1
55,Portugal,1,2,4
56,Ethiopia,1,2,2
57,Tunisia,1,1,2
58,Fiji,1,1,1
59,Latvia,1,1,3
60,Estonia,1,1,2
61,Thailand,1,1,2
62,Morocco,1,1,1
63,Puerto Rico,1,1,1
64,Bermuda,1,1,1
65,Colombia,,1,8
66,Azerbaijan,,1,4
67,Dominican Republic,,1,2
68,Armenia,,1,1
69,Kyrgyzstan,,,1
70,Mongolia,,,1
71,San Marino,,,1
72,Argentina,,,1
73,Malaysia,,,1
74,Nigeria,,,1
75,Jordan,,,1
76,Bahrain,,,
77,Saudi Arabia,,,
78,Lithuania,,,
79,North Macedonia,,,
80,Namibia,,,
81,Turkmenistan,,,
82,Kazakhstan,,,
83,Mexico,,,
84,Finland,,,
85,Republic of Moldova,,,
86,Grenada,,,
87,Ghana,,,
88,Burkina Faso,,,
89,C̫te d'Ivoire,,,
90,Botswana,,,
91,Kuwait,,,
92,Syrian Arab Republic,,,
